index,category,message,emotion,escalation_level,isafe_ms,magic_ms,chat_total_ms,sequential_ms,saved_ms
1,general,早安，我今天想聊聊以前工作的事情。,normal,0,1,2,3,3,0
2,general,我以前很喜歡下棋，你會下象棋嗎？,happy,0,2,2,3,4,1
3,general,今天天氣看起來不錯，我想出去走走。,happy,0,1,2,2,3,1
4,general,我剛剛喝了熱豆漿，覺得很舒服。,normal,0,1,1,1,2,1
5,general,你可以陪我回想一下年輕時的故事嗎？,normal,0,3,2,3,5,2
6,emotion,我今天有一點想念家人。,comfort,1,1,2,2,3,1
7,emotion,我覺得晚上比較孤單。,comfort,1,2,1,2,3,1
8,emotion,想到以前唱歌的時候，我心裡有點酸酸的。,normal,0,1,2,2,3,1
9,emotion,我怕自己忘記事情，心裡有點緊張。,normal,0,1,1,1,2,1
10,emotion,我今天精神沒有很好，但想有人陪我說話。,happy,0,4,6,6,10,4
11,safety_l2,我走路有點不穩，可能需要人扶一下。,normal,0,1,1,1,2,1
12,safety_l2,我剛剛覺得胸口悶悶的，但還能說話。,urgent,2,2,1,2,3,1
13,safety_l2,我今天藥好像忘記吃了。,normal,0,1,1,1,2,1
14,safety_l2,我有點頭暈，想先坐下來休息。,urgent,2,2,2,2,4,2
15,safety_l2,我的腰有點痛，想請人幫我看一下。,urgent,2,1,3,3,4,1
16,general,你還記得我喜歡聽什麼歌嗎？,happy,0,2,1,2,3,1
17,emotion,我想聽你說一些鼓勵我的話。,normal,0,1,1,1,2,1
18,safety_l2,我覺得身體怪怪的，想通知照護人員。,normal,0,0,1,1,1,0
